"Time","Target/4","Rpm/4","Accel(rpm/s)","Power","D"
"58426","0.000000","202.856082","-625.000000","0.000000","1.207019"
"58436","0.000000","202.662045","312.500000","0.000000","1.120845"
"58446","0.000000","202.497113","312.500000","0.000000","1.028622"
"58456","0.000000","202.591296","312.500000","0.000000","0.747551"
"58466","0.000000","202.671352","312.500000","0.000000","0.533996"
"58476","0.000000","202.739399","0.000000","0.000000","0.372759"
"58486","0.000000","202.797239","0.000000","0.000000","0.251935"
"58496","0.000000","202.846403","0.000000","0.000000","0.162217"
"58506","0.000000","202.888193","0.000000","0.000000","0.096342"
"58516","0.000000","202.923714","0.000000","0.000000","0.048657"
"58526","0.000000","202.953907","0.000000","0.000000","0.014771"
"58536","0.000000","202.979571","0.000000","0.000000","-0.008714"
"58546","0.000000","203.001385","0.000000","0.000000","-0.024423"
"58556","0.000000","203.019927","0.000000","0.000000","-0.034372"
"58566","0.000000","203.035688","0.000000","0.000000","-0.040106"
"58576","0.000000","202.580335","-625.000000","0.000000","0.332197"
"58586","0.000000","202.193285","-625.000000","0.000000","0.575398"
"58596","0.000000","201.629917","-312.500000","0.000000","0.911013"
"58606","0.000000","201.151055","-312.500000","0.000000","1.111900"
"58616","0.000000","200.509646","-312.500000","0.000000","1.402647"
"58626","0.000000","199.964449","-312.500000","0.000000","1.558275"
"58636","0.000000","199.501032","0.000000","0.000000","1.617354"
"58646","0.000000","199.107127","0.000000","0.000000","1.609007"
"58656","0.000000","198.772308","0.000000","0.000000","1.555061"
"58666","0.000000","198.722087","625.000000","0.000000","1.284226"
"58676","0.000000","198.679399","625.000000","0.000000","1.061531"
"58686","0.000000","198.877489","312.500000","0.000000","0.690753"
"58696","0.000000","199.045866","312.500000","0.000000","0.417901"
"58706","0.000000","199.188986","0.000000","0.000000","0.219824"
"58716","0.000000","199.310638","0.000000","0.000000","0.078538"
"58726","0.000000","199.882792","625.000000","0.000000","-0.394893"
"58736","0.000000","200.369123","0.000000","0.000000","-0.704979"
"58746","0.000000","200.782505","0.000000","0.000000","-0.894689"
"58756","0.000000","201.133879","0.000000","0.000000","-0.996850"
"58766","0.000000","201.432547","0.000000","0.000000","-1.036415"
"58776","0.000000","201.686415","0.000000","0.000000","-1.032226"
"58786","0.000000","201.902203","0.000000","0.000000","-0.998411"
"58796","0.000000","201.616872","-625.000000","0.000000","-0.570465"
"58806","0.000000","201.843092","1250.000000","0.000000","-0.637347"
"58816","0.000000","202.035378","1250.000000","0.000000","-0.663707"
"58826","0.000000","201.964446","-312.500000","0.000000","-0.474220"
"58836","0.000000","201.904154","-312.500000","0.000000","-0.331142"
"58846","0.000000","201.852906","0.000000","0.000000","-0.223915"
"58856","0.000000","201.809345","0.000000","0.000000","-0.144284"
"58866","0.000000","201.303568","-625.000000","0.000000","0.289195"
"58876","0.000000","200.404908","-1250.000000","0.000000","0.950284"
"58886","0.000000","199.641047","-1250.000000","0.000000","1.371316"
"58896","0.000000","199.226140","312.500000","0.000000","1.428978"
"58906","0.000000","198.873469","312.500000","0.000000","1.425320"
"58916","0.000000","198.573699","0.000000","0.000000","1.380072"
"58926","0.000000","198.318894","0.000000","0.000000","1.307901"
"58936","0.000000","198.102310","0.000000","0.000000","1.219588"
"58946","0.000000","197.918213","0.000000","0.000000","1.122948"
"58956","0.000000","197.996106","312.500000","0.000000","0.836044"
"58966","0.000000","198.062315","312.500000","0.000000","0.615868"
"58976","0.000000","197.884218","-312.500000","0.000000","0.635172"
"58986","0.000000","198.670335","2500.000000","0.000000","-0.120756"
"58996","0.000000","199.338535","2500.000000","0.000000","-0.631165"
"59006","0.000000","199.906505","0.000000","0.000000","-0.959308"
"59016","0.000000","200.389279","0.000000","0.000000","-1.153665"
"59026","0.000000","200.565262","-312.500000","0.000000","-1.063719"
"59036","0.000000","200.714848","-312.500000","0.000000","-0.970644"
"59046","0.000000","200.841996","0.000000","0.000000","-0.878233"
"59056","0.000000","200.012571","-2500.000000","0.000000","-0.039047"
"59066","0.000000","199.307561","-2500.000000","0.000000","0.532771"
"59076","0.000000","198.942677","312.500000","0.000000","0.718124"
"59086","0.000000","198.632525","312.500000","0.000000","0.822620"
"59096","0.000000","198.134521","-312.500000","0.000000","1.056499"
"59106","0.000000","197.711218","-312.500000","0.000000","1.183842"
"59116","0.000000","197.820160","625.000000","0.000000","0.859920"
"59126","0.000000","197.912761","0.000000","0.000000","0.613855"
"59136","0.000000","197.991472","0.000000","0.000000","0.428115"
"59146","0.000000","197.824001","-312.500000","0.000000","0.476469"
"59156","0.000000","197.681651","-312.500000","0.000000","0.495055"
"59166","0.000000","197.795028","312.500000","0.000000","0.305342"
"59176","0.000000","197.891399","312.500000","0.000000","0.167177"
"59186","0.000000","197.738939","-312.500000","0.000000","0.255710"
"59196","0.000000","197.609348","-312.500000","0.000000","0.308241"
"59206","0.000000","197.264821","-312.500000","0.000000","0.522214"
"59216","0.000000","196.971973","-312.500000","0.000000","0.652050"
"59226","0.000000","196.957427","312.500000","0.000000","0.533277"
"59236","0.000000","196.945063","-0.000000","0.000000","0.436513"
"59246","0.000000","196.934554","-0.000000","0.000000","0.357618"
"59256","0.000000","196.925620","0.000000","0.000000","0.293241"
"59266","0.000000","196.918027","0.000000","0.000000","0.240667"
"59276","0.000000","196.677198","-312.500000","0.000000","0.385197"
"59286","0.000000","196.472494","-312.500000","0.000000","0.471921"
"59296","0.000000","196.064120","-312.500000","0.000000","0.704236"
